run_id,listed_in_viewer,index_frame_count,distinct_measured_times,first_t_tcc,last_t_tcc,mesh_bytes,scientific_status,index_url,issues
athpp_L6_chi100,True,101,101,0.0,5.0,49493964,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athpp_L6_chi100/index.json,
athppgal_L4_chi10,True,21,21,0.0,5.0,824282,historical; tracking not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppgal_L4_chi10/index.json,
athppgal_L4_chi100,True,21,21,0.0,5.0,440343,historical; tracking not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppgal_L4_chi100/index.json,
athppgal_L4_chi1000,True,21,21,0.0,5.0,388160,historical; tracking not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athppgal_L4_chi1000/index.json,
athwM05_L4_chi10,True,21,21,0.0,5.0,1001739,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athwM05_L4_chi10/index.json,
athwM05_L4_chi100,True,21,21,0.0,5.0,354177,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athwM05_L4_chi100/index.json,
athwM05_L4_chi1000,True,21,21,0.0,5.0,356098,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athwM05_L4_chi1000/index.json,
athwM15_L4_chi10,True,16,16,0.0,5.0,465790,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athwM15_L4_chi10/index.json,
athwM15_L4_chi100,True,16,16,0.0,5.002,357438,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athwM15_L4_chi100/index.json,
athwM15_L4_chi1000,True,16,16,0.0,5.001,370787,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athwM15_L4_chi1000/index.json,
