######################################
###### Cloud in wind problem generator
#### Input parameters
## Cloud radius: 3.2e-22 kpc
## Cloud density: 1e+02 g/cm^3
## Wind density: 1 g/cm^3
## Wind temperature: 6.1e-09 K
## Wind velocity: 2.6e-05 km/s
#### Derived parameters
## Cloud temperature (from pressure equ.): 6.1e-11 K
## Cloud to wind density ratio: 1e+02
## Cloud to wind temperature ratio: 0.01
## Uniform pressure (code units): 1
## Wind sonic Mach: 2
## Cloud crushing time: 1.2e-13 Myr
######################################
Starting up hydro driver
### PARTHENON WARNING
  Message:     The following input parameters are set but unused:
comment/problem


  File:        /home/kaan/codes/athenapk/external/parthenon/src/parameter_input.cpp
  Line number: 687
# Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
prim                      Cell,Provides,Real,Derived,Hydro,parthenon::resolved_state
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes,Hydro,parthenon::resolved_state
bnd_flux::cons            Face,Provides,Real,Derived,OneCopy,Flux,CellMemAligned,parthenon::resolved_state
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------


Setup complete, executing driver...

cycle=9700 time=8.9788016946188822e+00 dt=9.3099279361590493e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=2.13e+02 wsec_step=1.77e+00
cycle=9800 time=9.0716363220139264e+00 dt=9.2550400843552502e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=2.14e+02 wsec_step=1.77e+00
cycle=9900 time=9.1639536167997910e+00 dt=9.2117594849892110e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=2.16e+02 wsec_step=1.76e+00
cycle=10000 time=9.2559477248077897e+00 dt=9.1905113154394408e-04 zone-cycles/wsec_step=4.65e+07 wsec_total=2.21e+02 wsec_step=4.51e+00
cycle=10100 time=9.3478433494043021e+00 dt=9.1925518845695328e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=2.22e+02 wsec_step=1.77e+00
cycle=10200 time=9.4399184366818343e+00 dt=9.2284278845818730e-04 zone-cycles/wsec_step=1.17e+08 wsec_total=2.24e+02 wsec_step=1.80e+00
cycle=10300 time=9.5324745428935582e+00 dt=9.2817637256040479e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=2.26e+02 wsec_step=1.77e+00
cycle=10400 time=9.6254422826428758e+00 dt=9.3141577788925659e-04 zone-cycles/wsec_step=1.18e+08 wsec_total=2.28e+02 wsec_step=1.77e+00
cycle=10500 time=9.7184918844634449e+00 dt=9.2826313954508526e-04 zone-cycles/wsec_step=4.58e+07 wsec_total=2.32e+02 wsec_step=4.58e+00
cycle=10600 time=9.8111998540497574e+00 dt=9.2642607038592403e-04 zone-cycles/wsec_step=1.16e+08 wsec_total=2.34e+02 wsec_step=1.81e+00
cycle=10700 time=9.9036783181086161e+00 dt=9.2229888905261148e-04 zone-cycles/wsec_step=1.17e+08 wsec_total=2.36e+02 wsec_step=1.79e+00
cycle=10800 time=9.9957365303014480e+00 dt=9.1920328624161087e-04 zone-cycles/wsec_step=1.17e+08 wsec_total=2.38e+02 wsec_step=1.79e+00
cycle=10900 time=1.0087616778021026e+01 dt=9.1873308611251580e-04 zone-cycles/wsec_step=1.14e+08 wsec_total=2.40e+02 wsec_step=1.84e+00
cycle=11000 time=1.0179537715136194e+01 dt=9.1995230635773240e-04 zone-cycles/wsec_step=4.45e+07 wsec_total=2.44e+02 wsec_step=4.71e+00
cycle=11100 time=1.0271663297850301e+01 dt=9.2274766645331389e-04 zone-cycles/wsec_step=1.09e+08 wsec_total=2.46e+02 wsec_step=1.93e+00
cycle=11200 time=1.0364124696063316e+01 dt=9.2493688922228956e-04 zone-cycles/wsec_step=1.10e+08 wsec_total=2.48e+02 wsec_step=1.91e+00
cycle=11300 time=1.0456061480165735e+01 dt=9.1467172657816215e-04 zone-cycles/wsec_step=1.15e+08 wsec_total=2.50e+02 wsec_step=1.82e+00
cycle=11400 time=1.0547118555963911e+01 dt=9.0744183644616986e-04 zone-cycles/wsec_step=1.13e+08 wsec_total=2.52e+02 wsec_step=1.86e+00
cycle=11500 time=1.0637688631644808e+01 dt=9.0422942341622427e-04 zone-cycles/wsec_step=1.15e+08 wsec_total=2.54e+02 wsec_step=1.83e+00
cycle=11600 time=1.0728117122024877e+01 dt=9.0520142502819592e-04 zone-cycles/wsec_step=4.44e+07 wsec_total=2.58e+02 wsec_step=4.73e+00
cycle=11700 time=1.0818879747370476e+01 dt=9.1028319399491108e-04 zone-cycles/wsec_step=1.17e+08 wsec_total=2.60e+02 wsec_step=1.79e+00
cycle=11800 time=1.0910189493163340e+01 dt=9.1550994036610715e-04 zone-cycles/wsec_step=1.15e+08 wsec_total=2.62e+02 wsec_step=1.82e+00
cycle=11900 time=1.1001760953391937e+01 dt=9.1544254329843633e-04 zone-cycles/wsec_step=1.16e+08 wsec_total=2.64e+02 wsec_step=1.81e+00
cycle=12000 time=1.1093294909358415e+01 dt=9.1554246263696670e-04 zone-cycles/wsec_step=1.19e+08 wsec_total=2.66e+02 wsec_step=1.76e+00
cycle=12100 time=1.1184955070731100e+01 dt=9.1780603283533380e-04 zone-cycles/wsec_step=4.75e+07 wsec_total=2.70e+02 wsec_step=4.42e+00
cycle=12200 time=1.1276983897399523e+01 dt=9.2168925125912880e-04 zone-cycles/wsec_step=1.12e+08 wsec_total=2.72e+02 wsec_step=1.88e+00
cycle=12300 time=1.1369296695231700e+01 dt=9.2477303156478111e-04 zone-cycles/wsec_step=1.10e+08 wsec_total=2.74e+02 wsec_step=1.91e+00
cycle=12400 time=1.1461782954763729e+01 dt=9.2270154786692126e-04 zone-cycles/wsec_step=1.09e+08 wsec_total=2.76e+02 wsec_step=1.93e+00
cycle=12500 time=1.1553833297147696e+01 dt=9.2033731629428148e-04 zone-cycles/wsec_step=1.06e+08 wsec_total=2.78e+02 wsec_step=1.98e+00
cycle=12600 time=1.1646244625794665e+01 dt=9.2971395910329850e-04 zone-cycles/wsec_step=4.50e+07 wsec_total=2.82e+02 wsec_step=4.66e+00
cycle=12700 time=1.1739658392909623e+01 dt=9.3335560516159116e-04 zone-cycles/wsec_step=1.16e+08 wsec_total=2.84e+02 wsec_step=1.81e+00
cycle=12800 time=1.1832578712842940e+01 dt=9.2700247150160849e-04 zone-cycles/wsec_step=1.15e+08 wsec_total=2.86e+02 wsec_step=1.82e+00
cycle=12900 time=1.1925408256036299e+01 dt=9.3080504203104937e-04 zone-cycles/wsec_step=1.13e+08 wsec_total=2.88e+02 wsec_step=1.85e+00
cycle=13000 time=1.2018719728644266e+01 dt=9.3530703004252524e-04 zone-cycles/wsec_step=1.13e+08 wsec_total=2.90e+02 wsec_step=1.86e+00
